Members,Date,Month,Year,ISO
Thailand,1,January,1995,THA
Togo,31,May,1995,TGO
Tonga,27,July,2007,TON
Trinidad and Tobago,1,March,1995,TTO
Tunisia,29,March,1995,TUN
Türkiye,26,March,1995,TUR
Uganda,1,January,1995,UGA
Ukraine,16,May,2008,UKR
United Arab Emirates,10,April,1996,ARE
United Kingdom,1,January,1995,GBR
United States,1,January,1995,USA
Uruguay,1,January,1995,URY
Vanuatu,24,August,2012,VUT
"Venezuela, Bolivarian Republic of",1,January,1995,VEN
Viet Nam,11,January,2007,VNM
Yemen,26,June,2014,YEM
Zambia,1,January,1995,ZMB
Zimbabwe,5,March,1995,ZWE
Observers,,,,#N/A
Algeria,,,,DZA
Andorra,,,,AND
Azerbaijan,,,,AZE
Bahamas,,,,BHS
Belarus,,,,BLR
Bhutan,,,,BTN
Bosnia and Herzegovina,,,,BIH
Comoros,,,,COM
Curaçao,,,,CUW
Equatorial Guinea,,,,GNQ
Ethiopia,,,,ETH
Holy See,,,,VAT
Iran,,,,IRN
Iraq,,,,IRQ
Lebanese Republic,,,,LBN
Libya,,,,LBY
Sao Tomé and Principe,,,,STP
Serbia,,,,SRB
Somalia,,,,SOM
South Sudan,,,,SSD
Sudan,,,,SDN
Syrian Arab Republic,,,,SYR
Timor-Leste,,,,TLS
Turkmenistan,,,,TKM
Uzbekistan,,,,UZB
