ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
BRB,Barbados,2009,Rice ,5,0,0,35.56440714,35.56440714,35.56440714,35.56440714,35.56440714,0,0,0,0,0
BRB,Barbados,2009,Maize,1,0,0,7.112881428,7.112881428,7.112881428,7.112881428,7.112881428,0,0,0,0,0
BRB,Barbados,2009,Vegetables,2,0,0,14.22576286,14.22576286,14.22576286,14.22576286,14.22576286,0,0,0,0,0
BRB,Barbados,2009,Bananas and plantains,4,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571,28.45152571
BRB,Barbados,2009,Other fruits,2.06,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574,14.65253574
BRB,Barbados,2009,AHIfull,14.06,0,0,0,0,0,0,0,0,0,0,0,0
BRB,Barbados,2009,AAIfull,14.059,43.10406146,43.10406146,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,43.10406146,43.10406146,43.10406146,43.10406146,43.10406146
BRB,Barbados,2009,Cropping_Intensity,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129,100.0071129
BRB,Barbados,2009,AEIfull,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113
BRB,Barbados,2009,Actually_Irrigated,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807,82.15391807
BRB,Barbados,2009,AEItot,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113,17.113
